LinkID,FNode,Enode,Lanes,LinkType,RoadRank,RoadType,RoadNo,RoadName,RoadUse,MultiLink,Connect,MaxSpeed,Rvehicle,RestWeight,RestHeight,Length,MedianType,PaveType,SafetyZone,Intersect,SpeedBump,Curvature,Crosswalk,RWayCross,Shoulder,PocketLane,Averheight,SigLight,SlopePer,SlopeDeg,VulService,ConService,Remark,geometry
L233012210,N233016040,N233016100,1,4,6,일반도로,,역골동로,1,0,0,30,모두통행가능,0.0,0.0,10.974,,1,3,0,0,9999999.0,1.0,0,0,0,0,,1.777,1.018,1,0,생활보호구역,"LINESTRING Z (307470.429 4119558.514 76.195, 307463.027 4119566.616 76.39)"
L233012220,N233015980,N233016090,1,4,6,일반도로,,역골동로,1,0,0,30,모두통행가능,0.0,0.0,11.145,,1,3,0,0,9999999.0,1.0,0,0,0,0,,0.197,0.113,1,0,생활보호구역,"LINESTRING Z (307460.064 4119564.311 76.173, 307467.682 4119556.175 76.195)"
L233012230,N233015980,N233016100,1,1,6,일반도로,,,1,0,0,50,모두통행가능,0.0,0.0,3.754,,1,0,3,0,9999999.0,0.0,0,0,0,0,,5.781,3.309,1,0,,"LINESTRING Z (307460.064 4119564.311 76.173, 307463.027 4119566.616 76.39)"
L233012240,N233016100,N233016800,1,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,25.335,,1,0,0,0,5648.724,0.0,0,0,0,0,,5.242,3.001,1,0,,"LINESTRING Z (307463.027 4119566.616 76.39, 307466.038 4119568.995 76.583, 307468.705 4119571.079 76.749, 307468.724 4119571.094 76.75, 307470.805 4119572.764 76.911, 307472.91 4119574.41 77.069, 307475.012 4119576.052 77.222, 307477.11 4119577.704 77.367, 307479.098 4119579.275 77.501, 307481.059 4119580.821 77.616, 307481.082 4119580.839 77.617, 307482.939 4119582.282 77.718)"
L233012250,N233016800,N233017700,2,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,13.881,,1,0,0,1,6012.278,0.0,0,0,1,0,,3.919,2.244,1,0,,"LINESTRING Z (307482.939 4119582.282 77.718, 307484.787 4119583.716 77.816, 307486.659 4119585.179 77.917, 307489.551 4119587.437 78.045, 307491.716 4119589.129 78.155, 307493.883 4119590.822 78.262)"
L233012260,N233011550,N233017120,3,4,6,일반도로,,역골중앙로,1,0,0,50,모두통행가능,0.0,0.0,63.129,,1,0,0,0,158.206,1.0,0,0,0,0,007,6.208,3.552,1,0,,"LINESTRING Z (307145.612 4119576.052 56.227, 307146.213 4119576.514 56.274, 307148.585 4119578.341 56.461, 307150.957 4119580.168 56.648, 307153.33 4119581.994 56.834, 307155.702 4119583.821 57.021, 307156.752 4119584.629 57.137, 307159.225 4119586.318 57.31, 307159.615 4119586.585 57.338, 307162.138 4119588.199 57.511, 307162.18 4119588.226 57.513, 307164.72 4119589.811 57.692, 307165.531 4119590.317 57.749, 307168.127 4119591.81 57.927, 307168.907 4119592.258 57.981, 307171.423 4119593.683 58.146, 307173.933 4119595.039 58.316, 307176.59 4119596.421 58.492, 307177.429 4119596.858 58.548, 307180.051 4119598.175 58.721, 307182.698 4119599.395 58.905, 307185.446 4119600.583 59.091, 307185.528 4119600.618 59.096, 307188.286 4119601.782 59.291, 307188.328 4119601.8 59.294, 307191.099 4119602.873 59.487, 307193.896 4119603.873 59.671, 307196.724 4119604.853 59.875, 307196.761 4119604.865 59.878, 307199.614 4119605.759 60.074, 307200.674 4119606.041 60.146)"
L233012270,N233017120,N233017340,2,4,6,일반도로,,역골중앙로,1,0,0,50,모두통행가능,0.0,0.0,47.095,,1,0,0,0,621.734,0.0,0,0,0,0,,6.222,3.56,1,0,,"LINESTRING Z (307200.674 4119606.041 60.146, 307202.421 4119606.507 60.264, 307205.253 4119607.291 60.468, 307208.128 4119608.121 60.673, 307208.185 4119608.137 60.677, 307210.981 4119608.756 60.858, 307213.379 4119609.282 61.02, 307215.876 4119609.804 61.188, 307218.649 4119610.298 61.358, 307221.597 4119610.828 61.535, 307221.675 4119610.842 61.539, 307224.617 4119611.4 61.718, 307225.247 4119611.519 61.756, 307228.193 4119612.056 61.938, 307229.152 4119612.23 61.998, 307232.094 4119612.788 62.175, 307233.786 4119613.108 62.277, 307236.727 4119613.666 62.462, 307238.199 4119613.945 62.555, 307241.143 4119614.492 62.738, 307242.683 4119614.778 62.834, 307245.631 4119615.308 63.008, 307246.066 4119615.386 63.034, 307246.782 4119615.515 63.076)"
L233012280,N233017340,N233017110,2,4,6,일반도로,,역골중앙로,1,0,0,30,모두통행가능,0.0,0.0,36.058,,1,1,0,0,2904.037,0.0,0,0,0,0,,6.326,3.62,1,0,,"LINESTRING Z (307246.782 4119615.515 63.076, 307249.727 4119616.056 63.257, 307250.818 4119616.257 63.323, 307253.763 4119616.799 63.512, 307254.823 4119616.995 63.579, 307257.762 4119617.56 63.776, 307260.557 4119618.098 63.962, 307263.504 4119618.629 64.15, 307266.128 4119619.102 64.317, 307269.078 4119619.616 64.508, 307271.482 4119620.034 64.664, 307274.428 4119620.569 64.85, 307276.848 4119621.008 65.002, 307279.793 4119621.546 65.195, 307282.255 4119621.995 65.357)"
L233012291,N233021530,N233021540,3,4,6,일반도로,,역골중앙로,1,0,0,30,모두통행가능,0.0,0.0,35.852,,1,1,0,0,553.473,1.0,0,0,1,0,007,5.894,3.373,1,0,,"LINESTRING Z (307291.264 4119623.728 65.893, 307294.201 4119624.316 66.065, 307296.315 4119624.74 66.188, 307299.254 4119625.315 66.365, 307301.212 4119625.699 66.482, 307304.143 4119626.313 66.653, 307306.73 4119626.855 66.803, 307309.668 4119627.437 66.979, 307311.477 4119627.796 67.087, 307313.866 4119628.269 67.229, 307316.242 4119628.779 67.37, 307318.525 4119629.311 67.516, 307320.704 4119629.83 67.658, 307326.278 4119631.382 68.006)"
L233012300,N233016010,N233016000,1,4,6,일반도로,,역골동로,1,0,0,30,모두통행가능,0.0,0.0,7.346,,1,3,0,0,9999999.0,1.0,0,0,0,0,,4.274,2.447,1,0,생활보호구역,"LINESTRING Z (307508.412 4119592.798 78.405, 307504.029 4119598.694 78.719)"
